
| :symbol | :qty |           :px-open |   :dt-open |          :px-close |  :dt-close |                 :pl |
|   FSRBX |  100 | 19.239999771118164 | 2008-08-30 | 19.139999389648438 | 2008-09-04 | -10.000038146972656 |
|   FSTCX |  100 |               42.0 | 2008-09-03 |  40.15999984741211 | 2008-09-04 | -184.00001525878906 |
|   FSMEX |  100 | 26.270000457763672 | 2008-08-19 |  25.65999984741211 | 2008-09-04 |  -61.00006103515625 |
|   FDFAX |  100 |  63.09000015258789 | 2008-09-12 | 61.970001220703125 | 2008-09-15 | -111.99989318847656 |
|   FNARX |  100 | 33.119998931884766 | 2008-09-19 | 31.920000076293945 | 2008-09-23 | -119.99988555908203 |
|   FSAGX |  100 |  35.06999969482422 | 2008-09-22 | 31.520000457763672 | 2008-09-29 |  -354.9999237060547 |
|   FSRBX |  100 |  19.15999984741211 | 2008-10-03 | 18.360000610351562 | 2008-10-06 |  -79.99992370605469 |
|   FSNGX |  100 | 24.049999237060547 | 2008-10-21 |   21.1299991607666 | 2008-10-22 | -292.00000762939453 |
|   FSRBX |  100 |              17.25 | 2008-10-15 | 16.469999313354492 | 2008-10-22 |  -78.00006866455078 |
|   FPHAX |  100 |  8.829999923706055 | 2008-10-21 |    8.4399995803833 | 2008-10-22 |  -39.00003433227539 |
|   FSDCX |  100 | 12.880000114440918 | 2008-10-31 | 12.720000267028809 | 2008-11-03 | -15.999984741210938 |
|   FWRLX |  100 |   4.53000020980835 | 2008-10-31 |  4.429999828338623 | 2008-11-05 | -10.000038146972656 |
|   FDCPX |  100 | 29.110000610351562 | 2008-10-31 |   27.1299991607666 | 2008-11-06 |  -198.0001449584961 |
|   FSNGX |  100 | 25.700000762939453 | 2008-11-04 |  22.59000015258789 | 2008-11-06 | -311.00006103515625 |
|   FSDCX |  100 | 11.050000190734863 | 2008-11-26 |   10.1899995803833 | 2008-12-01 |  -86.00006103515625 |
|   FSDPX |  100 | 29.270000457763672 | 2008-11-26 | 26.270000457763672 | 2008-12-01 |              -300.0 |
|   FWRLX |  100 |  4.139999866485596 | 2008-11-26 |  3.759999990463257 | 2008-12-01 |  -37.99998760223389 |
